id,title,torrent_url
78,"The Punishment La punition / penalty (Pierre-Alain Jolivet, Da Ma Produzione, Labrador Films, Lira Films) [1973, Drama | Thriller, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].12724.torrent
79,"Hentai mesuinu chôkyô Ruff Trade /? (Akifumi Kageyama, Shintoho Company) [1985, Erotic, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].12725.torrent
80,"A Pool Without WaterMizu no nai puuru / pool without water (Kôji Wakamatsu, Wakamatsu Production) [1982 g., Erotic, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].12726.torrent
81,"Blonde CurrencyTûka to Kinpatsu /? (Rokuro Mochizuki, GAGA) [1999, Erotic, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].12727.torrent
82,"Yureru densha no naka de: Niizuma no gôjasu na shitaiA.K.A. Tokyo Train Girls 2 / TOKYO TRAIN with girls 2 (Tadashi Kyouya, CARESS COMMUNICATIONS) [2008 g., EROTIC, SOFTCORE BD, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].12728.torrent
83,"Quante volte ... quella notteFour Times that Night / four times that night (Mario Bava, Delfino Film, Hape-Film Company GmbH) [1972, Comedy, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].12729.torrent
84,"Tender Flesh / Gentle flesh (Jesus Franco) [1997, erotic, horror, canibal, DVDRip] VO [rus]",https://d.ptorrents.com/bt/[ptorrents.com].12730.torrent
85,"El hotel de los ligues The Hotel of Love Affairs / Love Hotel (Jesús Franco, Golden Films Internacional S.A.) [1983, Erotic, VHSRip]",https://d.ptorrents.com/bt/[ptorrents.com].12731.torrent
86,"Papaya dei CaraibiLove Goddess of the Cannibals / Papaya - goddess of love and cannibals (Joe D'Amato, Mercury Cinematografica) [1978, Horror, DVDRip]",https://d.ptorrents.com/bt/[ptorrents.com].12732.torrent
87,"Sogni erotici di Cleopatra / Erotic Dreams of Cleopatra (Rino Di Silvestro) [1985, Romance, TVRip]",https://d.ptorrents.com/bt/[ptorrents.com].13034.torrent
88,"Las alumnas de madame Olga / Students Madame Olga (José Ramón Larraz, Producciones Balcázar S.A.) [1981, Drama, TVRip]",https://d.ptorrents.com/bt/[ptorrents.com].13183.torrent
